COMPRODUCT,COMPRODUCT-16494,2023-11-06 08:19:55.757000-06:00,status,New,In Development,
COMPRODUCT,COMPRODUCT-16494,2024-09-04 08:40:06.783000-05:00,status,In Development,Closed,302 days 23:20:11.026000
COMPRODUCT,COMPRODUCT-16494,2024-11-12 09:32:49.129630-05:00,,Closed,Active,69 days 00:52:42.346630
COMPRODUCT,COMPRODUCT-16348,2023-10-11 07:59:27.527000-05:00,status,New,In Development,
COMPRODUCT,COMPRODUCT-16348,2023-11-06 08:03:31.903000-06:00,status,In Development,PO Grooming,26 days 01:04:04.376000
COMPRODUCT,COMPRODUCT-16348,2023-11-20 09:45:46.597000-06:00,status,PO Grooming,New,14 days 01:42:14.694000
COMPRODUCT,COMPRODUCT-16348,2024-10-24 05:23:49.113000-05:00,status,New,Closed,338 days 18:38:02.516000
COMPRODUCT,COMPRODUCT-16348,2024-11-12 09:32:49.143125-05:00,,Closed,Active,19 days 04:09:00.030125
COMPRODUCT,COMPRODUCT-15965,2023-05-04 08:06:29.520000-05:00,status,New,In Development,
COMPRODUCT,COMPRODUCT-15965,2023-05-08 13:50:00.760000-05:00,status,In Development,Code Review,4 days 05:43:31.240000
COMPRODUCT,COMPRODUCT-15965,2023-05-08 13:54:59.847000-05:00,status,Code Review,QA Testing,0 days 00:04:59.087000
COMPRODUCT,COMPRODUCT-15965,2024-10-24 04:46:01.147000-05:00,status,QA Testing,Closed,534 days 14:51:01.300000
COMPRODUCT,COMPRODUCT-15965,2024-11-12 09:32:49.154950-05:00,,Closed,Active,19 days 04:46:48.007950
COMPRODUCT,COMPRODUCT-15873,2023-04-13 08:10:09.940000-05:00,status,New,In Development,
COMPRODUCT,COMPRODUCT-15873,2024-10-24 05:12:47.623000-05:00,status,In Development,Closed,559 days 21:02:37.683000
COMPRODUCT,COMPRODUCT-15873,2024-11-12 09:32:49.166149-05:00,,Closed,Active,19 days 04:20:01.543149
COMPRODUCT,COMPRODUCT-15871,2023-04-13 07:54:23.903000-05:00,status,New,In Development,
